timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
3577.761860256	0.000000000	-0.501	-1.508	-0.080	0.276	0.506669	1	4294967295
3578.061977100	0.000000000	-0.487	-1.408	-0.071	0.281	0.441343	1	4294967295
3578.362123732	0.000000000	-0.474	-1.311	-0.062	0.285	0.433006	1	4294967295
3578.662441689	0.000000000	-0.469	-1.218	-0.057	0.288	0.385223	1	4294967295
3578.962196323	0.000000000	-0.448	-1.130	-0.047	0.289	0.465420	1	4294967295
3579.262387569	0.000000000	-0.428	-1.036	-0.038	0.291	0.437153	1	4294967295
3579.562414379	0.000000000	-0.407	-0.947	-0.030	0.292	0.426647	1	4294967295
3579.862414478	0.000000000	-0.385	-0.858	-0.022	0.293	0.436749	1	4294967295
3580.162465009	0.000000000	-0.367	-0.775	-0.016	0.293	0.429622	1	4294967295
3580.462569622	0.000000000	-0.264	-0.633	0.014	0.305	1.893026	1	4294967295
3580.762623002	0.000000000	-0.243	-0.566	0.018	0.299	0.432743	1	4294967295
3581.062603421	0.000000000	-0.138	-0.436	0.046	0.308	1.800301	1	4294967295
3581.362710142	0.000000000	-0.116	-0.379	0.048	0.298	0.503279	1	4294967295
3581.662771067	0.000000000	-0.095	-0.321	0.050	0.290	0.472378	1	4294967295
3581.962846458	0.000000000	-0.073	-0.258	0.052	0.284	0.398465	1	4294967295
3582.262961472	0.000000000	-0.064	-0.204	0.050	0.276	0.474464	1	4294967295
3582.563008588	0.000000000	-0.038	-0.145	0.053	0.270	0.430679	1	4294967295
3582.862954976	0.000000000	-0.002	-0.090	0.058	0.263	0.450187	1	4294967295
3583.162939071	0.000000000	0.123	0.051	0.087	0.279	1.639719	1	4294967295
3583.462919948	0.000000000	0.245	0.180	0.113	0.289	1.518466	1	4294967295
3583.763028965	0.000000000	0.486	0.337	0.168	0.304	2.298594	1	4294967295
3584.063068833	0.000000000	0.650	0.436	0.198	0.304	1.798533	1	4294967295
3584.363063945	0.000000000	0.817	0.531	0.227	0.303	1.716971	1	4294967295
3584.663026061	0.000000000	0.880	0.537	0.225	0.281	2.201413	1	4294967295
3584.962996746	0.000000000	0.947	0.549	0.225	0.262	2.181145	1	4294967295
3585.262939196	0.000000000	1.027	0.530	0.228	0.236	2.309967	1	4294967295
3585.562980113	0.000000000	1.107	0.519	0.231	0.215	2.271294	1	4294967295
3585.862999755	0.000000000	1.080	0.536	0.205	0.203	1.268321	1	4294967295
3586.163026399	0.000000000	1.163	0.540	0.211	0.188	2.187995	1	4294967295
3586.463013127	0.000000000	1.329	0.573	0.238	0.182	2.599566	1	4294967295
3586.762993751	0.000000000	1.408	0.578	0.239	0.169	2.163115	1	4294967295
3587.062922871	0.000000000	1.396	0.594	0.216	0.160	1.203601	1	4294967295
3587.362938408	0.000000000	1.392	0.622	0.197	0.155	0.982889	1	4294967295
3587.662996117	0.000000000	1.516	0.576	0.214	0.129	3.256130	1	4294967295
3587.963050374	0.000000000	1.563	0.616	0.209	0.130	1.950123	1	4294967295
3588.263037096	0.000000000	1.609	0.648	0.204	0.128	1.971752	1	4294967295
3588.563063157	0.000000000	1.654	0.667	0.200	0.123	2.011907	1	4294967295
3588.862994472	0.000000000	1.619	0.681	0.173	0.116	1.187779	1	4294967295
3589.162950245	0.000000000	1.626	0.689	0.160	0.108	0.862898	1	4294967295
3589.462945354	0.000000000	1.595	0.711	0.138	0.105	0.943996	1	4294967295
3589.762942069	0.000000000	1.546	0.726	0.113	0.099	0.901270	1	4294967295
3590.062854714	0.000000000	1.514	0.740	0.094	0.095	0.771434	1	4294967295
3590.362721481	0.000000000	1.514	0.761	0.085	0.092	0.638067	1	4294967295
3590.662620570	0.000000000	1.530	0.779	0.082	0.090	0.494390	1	4294967295
3590.962490522	0.000000000	1.548	0.803	0.079	0.089	0.480902	1	4294967295
3591.262562985	0.000000000	1.679	0.830	0.107	0.090	1.973373	1	4294967295
3591.562517574	0.000000000	1.714	0.843	0.107	0.086	0.465166	1	4294967295
3591.862427531	0.000000000	1.736	0.841	0.103	0.079	0.529754	1	4294967295
3592.162321913	0.000000000	1.753	0.839	0.099	0.072	0.501695	1	4294967295
3592.462265155	0.000000000	1.781	0.840	0.097	0.066	0.461054	1	4294967295
3592.762152516	0.000000000	1.818	0.835	0.098	0.060	0.485090	1	4294967295
3593.062127447	0.000000000	1.857	0.836	0.099	0.056	0.468270	1	4294967295
3593.362069669	0.000000000	1.901	0.840	0.102	0.052	0.485878	1	4294967295
3593.661960521	0.000000000	1.947	0.841	0.105	0.049	0.469514	1	4294967295
3593.961850897	0.000000000	1.998	0.835	0.108	0.044	0.486660	1	4294967295
3594.262153041	0.000000000	2.050	0.836	0.113	0.041	0.431742	1	4294967295
3594.561700265	0.000000000	2.112	0.829	0.119	0.036	0.446390	1	4294967295
3594.861667945	0.000000000	2.176	0.824	0.126	0.033	0.429061	1	4294967295
3595.161580253	0.000000000	2.529	0.343	0.206	-0.083	7.695139	1	4294967295
3595.461552019	0.000000000	2.580	0.377	0.203	-0.068	0.685614	1	4294967295
3595.761435592	0.000000000	2.986	-0.106	0.293	-0.177	7.529842	1	4294967295
3596.061300864	0.000000000	3.346	-0.493	0.364	-0.255	7.051646	1	4294967295
3596.361226266	0.000000000	3.444	-0.480	0.362	-0.232	2.892404	1	4294967295
3596.661182217	0.000000000	3.533	-0.465	0.357	-0.211	2.860970	1	4294967295
3596.961269094	0.000000000	3.773	-0.701	0.392	-0.254	6.629884	1	4294967295
3597.261207183	0.000000000	3.793	-0.598	0.366	-0.209	2.163001	1	4294967295
3597.561036100	0.000000000	4.025	-0.807	0.398	-0.245	6.531122	1	4294967295
3597.860936520	0.000000000	4.180	-0.984	0.407	-0.272	6.555839	1	4294967295
3598.160817084	0.000000000	4.190	-0.905	0.377	-0.231	3.196242	1	4294967295
3598.460733051	0.000000000	4.381	-1.102	0.397	-0.264	6.653859	1	4294967295
3598.760706403	0.000000000	4.496	-1.231	0.395	-0.277	6.499637	1	4294967295
3599.060641713	0.000000000	4.440	-1.080	0.347	-0.216	3.048484	1	4294967295
3599.360504027	0.000000000	4.380	-0.932	0.301	-0.160	2.752769	1	4294967295
3599.673277594	0.000000000	4.282	-0.788	0.247	-0.110	2.585197	1	4294967295
3599.973497955	0.000000000	4.208	-0.647	0.204	-0.065	2.244253	1	4294967295
3600.273658807	0.000000000	4.146	-0.516	0.167	-0.025	1.953100	1	4294967295
3600.559911254	0.000000000	4.089	-0.373	0.136	0.013	1.690500	1	4294967295
3600.859854704	0.000000000	4.057	-0.300	0.116	0.031	1.172359	1	4294967295
3601.159731975	0.000000000	4.004	-0.199	0.091	0.054	1.183077	1	4294967295
3601.459588280	0.000000000	3.968	-0.121	0.073	0.069	0.940691	1	4294967295
3601.759409334	0.000000000	3.934	-0.002	0.055	0.095	1.036343	1	4294967295
3602.059279450	0.000000000	3.928	0.062	0.045	0.104	0.762297	1	4294967295
3602.359168832	0.000000000	3.939	0.113	0.041	0.109	0.631387	1	4294967295
3602.659061837	0.000000000	3.964	0.148	0.042	0.111	0.553139	1	4294967295
3602.958960622	0.000000000	3.999	0.169	0.045	0.108	0.556317	1	4294967295
3603.258904448	0.000000000	4.036	0.179	0.049	0.103	0.521291	1	4294967295
3603.558707203	0.000000000	4.075	0.174	0.053	0.094	0.579226	1	4294967295
3603.858502186	0.000000000	4.118	0.156	0.058	0.083	0.627571	1	4294967295
3604.158288466	0.000000000	4.175	0.121	0.067	0.068	0.685055	1	4294967295
3604.458193051	0.000000000	4.225	0.082	0.073	0.053	0.714032	1	4294967295
3604.758081416	0.000000000	4.372	-0.017	0.106	0.023	2.799560	1	4294967295
3605.057865263	0.000000000	4.512	-0.124	0.134	-0.006	2.693278	1	4294967295
3605.357695812	0.000000000	4.632	-0.231	0.154	-0.033	2.598431	1	4294967295
3605.657516370	0.000000000	4.662	-0.284	0.148	-0.045	0.651230	1	4294967295
3605.957327026	0.000000000	4.651	-0.353	0.131	-0.059	0.735544	1	4294967295
3606.257194669	0.000000000	4.657	-0.425	0.120	-0.073	0.675211	1	4294967295
3606.576939112	0.000000000	4.675	-0.455	0.115	-0.075	0.379179	1	4294967295
3606.876721955	0.000000000	4.675	-0.507	0.105	-0.083	0.554562	1	4294967295
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
3607.476912290	0.000000000	4.671	-0.573	0.095	-0.094	0.594462	1	4294967295
3607.756245376	0.000000000	4.690	-0.658	0.090	-0.108	0.689267	1	4294967295
