timeref	est_sendtime	pos_x	pos_y	vel_x	vel_y	sigma	valid	senderGuid
8588.912074929	0.000000000	1.634	-1.990	0.122	0.317	1.103961	1	4294967295
8589.212128453	0.000000000	1.765	-1.876	0.146	0.324	1.139381	1	4294967295
8589.512176737	0.000000000	1.878	-1.774	0.162	0.328	1.067098	1	4294967295
8589.812042706	0.000000000	1.979	-1.690	0.175	0.327	1.064772	1	4294967295
8590.111816394	0.000000000	2.066	-1.631	0.183	0.319	1.084507	1	4294967295
8590.427998177	0.000000000	2.129	-1.530	0.184	0.322	0.857949	1	4294967295
8590.727877549	0.000000000	2.181	-1.425	0.181	0.327	0.794542	1	4294967295
8591.027723090	0.000000000	2.220	-1.326	0.175	0.329	0.869386	1	4294967295
8591.327620606	0.000000000	2.242	-1.237	0.165	0.329	0.897156	1	4294967295
8591.612029614	0.000000000	2.289	-1.204	0.161	0.315	1.122141	1	4294967295
8591.912023903	0.000000000	2.322	-1.201	0.154	0.293	1.130795	1	4294967295
8592.212014781	0.000000000	2.339	-1.237	0.144	0.262	1.235176	1	4294967295
8592.511871990	0.000000000	2.342	-1.273	0.131	0.233	1.260071	1	4294967295
8592.812058013	0.000000000	2.353	-1.317	0.121	0.205	1.171153	1	4294967295
8593.112237464	0.000000000	2.337	-1.354	0.105	0.180	1.106267	1	4294967295
8593.412362848	0.000000000	2.328	-1.374	0.092	0.161	0.980038	1	4294967295
8593.712439161	0.000000000	2.314	-1.406	0.079	0.141	1.004887	1	4294967295
8594.012615082	0.000000000	2.279	-1.424	0.062	0.126	0.922195	1	4294967295
8594.312896268	0.000000000	2.264	-1.461	0.053	0.106	0.918392	1	4294967295
8594.613106199	0.000000000	2.231	-1.466	0.040	0.096	0.643492	1	4294967295
8594.913327893	0.000000000	2.153	-1.550	0.016	0.066	1.080489	1	4294967295
8595.213414594	0.000000000	2.079	-1.619	-0.004	0.042	0.940710	1	4294967295
8595.513705760	0.000000000	1.994	-1.676	-0.025	0.024	0.913122	1	4294967295
8595.814149281	0.000000000	1.888	-1.718	-0.051	0.010	0.979053	1	4294967295
8596.114153795	0.000000000	1.787	-1.760	-0.073	-0.002	0.910018	1	4294967295
8596.414389683	0.000000000	1.669	-1.810	-0.097	-0.015	0.958879	1	4294967295
8596.714677011	0.000000000	1.562	-1.843	-0.118	-0.023	0.859470	1	4294967295
8597.014884303	0.000000000	1.450	-1.883	-0.138	-0.032	0.868398	1	4294967295
8597.315089462	0.000000000	1.335	-1.925	-0.157	-0.041	0.852313	1	4294967295
8597.614948370	0.000000000	1.231	-1.976	-0.171	-0.053	0.783975	1	4294967295
8597.915240899	0.000000000	1.106	-2.034	-0.188	-0.065	0.836730	1	4294967295
8598.215410040	0.000000000	0.980	-2.088	-0.205	-0.075	0.777839	1	4294967295
8598.515523375	0.000000000	0.854	-2.134	-0.221	-0.082	0.703283	1	4294967295
8598.815726989	0.000000000	0.727	-2.189	-0.235	-0.091	0.692016	1	4294967295
8599.115898321	0.000000000	0.602	-2.240	-0.249	-0.098	0.643802	1	4294967295
8599.416123548	0.000000000	0.474	-2.277	-0.262	-0.101	0.598128	1	4294967295
8599.716287563	0.000000000	0.353	-2.307	-0.272	-0.102	0.562412	1	4294967295
8600.016345153	0.000000000	0.235	-2.328	-0.281	-0.100	0.539715	1	4294967295
8600.316456395	0.000000000	0.118	-2.351	-0.289	-0.099	0.480450	1	4294967295
8600.624977577	0.000000000	0.024	-2.376	-0.291	-0.097	0.202609	1	4294967295
8600.916760754	0.000000000	-0.079	-2.381	-0.295	-0.091	0.403027	1	4294967295
8601.217089589	0.000000000	-0.172	-2.373	-0.295	-0.082	0.448917	1	4294967295
8601.517118787	0.000000000	-0.256	-2.356	-0.293	-0.072	0.445528	1	4294967295
8601.817172546	0.000000000	-0.338	-2.333	-0.291	-0.060	0.444690	1	4294967295
8602.117046537	0.000000000	-0.407	-2.303	-0.286	-0.046	0.527100	1	4294967295
8602.417082445	0.000000000	-0.460	-2.264	-0.278	-0.031	0.644395	1	4294967295
8602.716863287	0.000000000	-0.508	-2.209	-0.269	-0.012	0.807626	1	4294967295
8603.016830199	0.000000000	-0.544	-2.139	-0.257	0.010	0.924766	1	4294967295
8603.316650602	0.000000000	-0.462	-2.067	-0.213	0.028	2.542865	1	4294967295
8603.616447264	0.000000000	-0.478	-1.993	-0.201	0.049	1.053272	1	4294967295
8603.916136136	0.000000000	-0.473	-1.916	-0.184	0.069	1.150615	1	4294967295
8604.215974756	0.000000000	-0.458	-1.837	-0.166	0.088	1.152016	1	4294967295
8604.515802329	0.000000000	-0.416	-1.750	-0.142	0.107	1.209858	1	4294967295
8604.815666916	0.000000000	-0.362	-1.673	-0.116	0.122	1.242962	1	4294967295
8605.115492642	0.000000000	-0.289	-1.602	-0.087	0.133	1.195136	1	4294967295
8605.415247520	0.000000000	-0.210	-1.523	-0.059	0.147	1.285179	1	4294967295
8605.715064277	0.000000000	-0.126	-1.465	-0.031	0.152	1.156668	1	4294967295
8606.014635464	0.000000000	-0.017	-1.407	0.001	0.158	1.341030	1	4294967295
8606.314322093	0.000000000	0.104	-1.374	0.034	0.156	1.297963	1	4294967295
8606.613893801	0.000000000	0.228	-1.339	0.065	0.154	1.310049	1	4294967295
8606.913540115	0.000000000	0.364	-1.309	0.096	0.152	1.343505	1	4294967295
8607.213300052	0.000000000	0.551	-1.366	0.141	0.124	2.882618	1	4294967295
8607.524184217	0.000000000	0.702	-1.389	0.172	0.107	2.692232	1	4294967295
8607.824365182	0.000000000	0.859	-1.419	0.201	0.090	2.603157	1	4294967295
8608.124850546	0.000000000	1.021	-1.486	0.229	0.066	2.611910	1	4294967295
8608.425251806	0.000000000	1.192	-1.564	0.256	0.040	2.515424	1	4294967295
8608.711351065	0.000000000	1.410	-1.683	0.292	0.009	2.576803	1	4294967295
8609.011127680	0.000000000	1.544	-1.696	0.303	0.008	1.273348	1	4294967295
8609.310937088	0.000000000	1.672	-1.690	0.311	0.011	1.116128	1	4294967295
8609.610783608	0.000000000	1.773	-1.710	0.311	0.008	1.218093	1	4294967295
8609.910644949	0.000000000	1.864	-1.717	0.308	0.008	1.235134	1	4294967295
8610.210716742	0.000000000	1.959	-1.706	0.306	0.013	1.198220	1	4294967295
8610.510748109	0.000000000	2.056	-1.698	0.305	0.016	1.166731	1	4294967295
8610.810645261	0.000000000	2.137	-1.679	0.301	0.021	0.836696	1	4294967295
8611.110783849	0.000000000	2.220	-1.668	0.298	0.023	0.737158	1	4294967295
8611.410801121	0.000000000	2.280	-1.636	0.289	0.031	0.887654	1	4294967295
8611.711070799	0.000000000	2.273	-1.600	0.263	0.040	1.054172	1	4294967295
8612.011239370	0.000000000	2.267	-1.569	0.239	0.047	0.988798	1	4294967295
8612.311330860	0.000000000	2.259	-1.552	0.217	0.050	1.081660	1	4294967295
8612.611418113	0.000000000	2.254	-1.537	0.197	0.053	0.992142	1	4294967295
8612.911573480	0.000000000	2.239	-1.523	0.176	0.055	0.965989	1	4294967295
8613.225147954	0.000000000	2.208	-1.508	0.153	0.057	0.942899	1	4294967295
8613.524939642	0.000000000	2.177	-1.492	0.132	0.059	0.852580	1	4294967295
8613.824742842	0.000000000	2.121	-1.462	0.105	0.064	0.979010	1	4294967295
8614.124554227	0.000000000	2.050	-1.430	0.076	0.070	0.950559	1	4294967295
8614.412923126	0.000000000	1.982	-1.398	0.052	0.074	0.853951	1	4294967295
8614.713409579	0.000000000	1.881	-1.339	0.020	0.085	1.103864	1	4294967295
8615.013638190	0.000000000	1.783	-1.280	-0.009	0.096	1.006574	1	4294967295
8615.313910560	0.000000000	1.686	-1.217	-0.035	0.105	0.941610	1	4294967295
8615.614258333	0.000000000	1.618	-1.159	-0.050	0.113	0.760571	1	4294967295
8615.922542580	0.000000000	1.583	-1.137	-0.056	0.109	0.302543	1	4294967295
8616.222046676	0.000000000	1.530	-1.126	-0.066	0.104	0.483692	1	4294967295
-1.000000000	0.000000000	0.000	0.000	0.000	0.000	0.000000	0	0
8616.821572184	0.000000000	1.462	-1.116	-0.078	0.098	0.613457	1	4294967295
8617.121378539	0.000000000	1.284	-1.028	-0.120	0.113	1.283872	1	4294967295
8617.416899746	0.000000000	1.100	-0.874	-0.156	0.142	1.333870	1	4294967295
8617.717352785	0.000000000	0.886	-0.749	-0.197	0.161	1.276623	1	4294967295
8618.017594500	0.000000000	0.700	-0.647	-0.227	0.172	1.075097	1	4294967295
8618.317784767	0.000000000	0.551	-0.538	-0.247	0.186	0.813911	1	4294967295
8618.618164649	0.000000000	0.424	-0.436	-0.259	0.197	0.697584	1	4294967295
8618.918250769	0.000000000	0.315	-0.353	-0.266	0.202	0.492073	1	4294967295
8619.218518744	0.000000000	0.225	-0.256	-0.268	0.211	0.517451	1	4294967295
8619.518531035	0.000000000	0.150	-0.168	-0.265	0.216	0.469956	1	4294967295
8619.818504794	0.000000000	0.102	-0.090	-0.256	0.218	0.546632	1	4294967295
8620.118686699	0.000000000	0.076	-0.008	-0.241	0.222	0.666424	1	4294967295
8620.418765392	0.000000000	0.073	0.091	-0.221	0.229	0.805887	1	4294967295
8620.718828943	0.000000000	0.086	0.202	-0.199	0.238	0.863605	1	4294967295
8621.018786516	0.000000000	0.089	0.297	-0.182	0.244	0.722748	1	4294967295
8621.318715930	0.000000000	0.135	0.401	-0.154	0.250	0.978597	1	4294967295
8621.618748447	0.000000000	0.181	0.486	-0.128	0.252	0.967862	1	4294967295
8621.918673057	0.000000000	0.258	0.582	-0.095	0.255	1.116102	1	4294967295
8622.218704291	0.000000000	0.351	0.686	-0.061	0.261	1.093675	1	4294967295
8622.518578420	0.000000000	0.464	0.778	-0.025	0.263	1.169019	1	4294967295
8622.818258347	0.000000000	0.621	0.859	0.022	0.261	1.391513	1	4294967295
8623.117942392	0.000000000	0.783	0.921	0.065	0.255	1.380469	1	4294967295
8623.417714000	0.000000000	0.928	0.964	0.101	0.245	1.243823	1	4294967295
8623.717680145	0.000000000	1.041	1.030	0.124	0.243	0.963926	1	4294967295
8624.017843818	0.000000000	1.146	1.059	0.143	0.231	0.799022	1	4294967295
8624.317873422	0.000000000	1.227	1.080	0.154	0.218	0.651055	1	4294967295
8624.617550892	0.000000000	1.291	1.065	0.158	0.197	0.825545	1	4294967295
8624.917184739	0.000000000	1.367	1.035	0.165	0.174	0.938265	1	4294967295
8625.216928357	0.000000000	1.453	0.994	0.174	0.150	0.971662	1	4294967295
8625.516532309	0.000000000	1.536	0.934	0.182	0.123	1.094289	1	4294967295
8625.816127219	0.000000000	1.606	0.867	0.184	0.096	1.155823	1	4294967295
8626.115824438	0.000000000	1.664	0.793	0.183	0.069	1.198574	1	4294967295
8626.415337184	0.000000000	1.726	0.700	0.182	0.040	1.294803	1	4294967295
8626.714862494	0.000000000	1.781	0.595	0.180	0.009	1.366196	1	4294967295
8627.014487259	0.000000000	1.829	0.478	0.176	-0.023	1.420197	1	4294967295
8627.314148958	0.000000000	1.866	0.356	0.168	-0.054	1.434491	1	4294967295
8627.613776903	0.000000000	1.908	0.229	0.163	-0.085	1.381473	1	4294967295
8627.913348989	0.000000000	1.958	0.097	0.160	-0.113	1.350304	1	4294967295
8628.212893534	0.000000000	1.995	-0.036	0.154	-0.141	1.387690	1	4294967295
8628.512529131	0.000000000	2.021	-0.171	0.145	-0.166	1.371969	1	4294967295
8628.811968106	0.000000000	2.118	-0.381	0.158	-0.210	2.888371	1	4294967295
8629.111579917	0.000000000	2.150	-0.518	0.151	-0.231	1.316943	1	4294967295
8629.411310150	0.000000000	2.195	-0.659	0.147	-0.250	1.212536	1	4294967295
8629.710777503	0.000000000	2.230	-0.799	0.141	-0.268	1.271433	1	4294967295
8630.010476965	0.000000000	2.263	-0.933	0.135	-0.282	1.215204	1	4294967295
8630.310138005	0.000000000	2.279	-1.064	0.125	-0.295	1.290080	1	4294967295
8630.609734100	0.000000000	2.322	-1.207	0.122	-0.310	1.174316	1	4294967295
8630.909350752	0.000000000	2.361	-1.337	0.120	-0.319	1.213585	1	4294967295
8631.209274537	0.000000000	2.397	-1.461	0.117	-0.326	1.091325	1	4294967295
8631.509150824	0.000000000	2.429	-1.586	0.113	-0.333	0.998032	1	4294967295
8631.808992452	0.000000000	2.469	-1.708	0.112	-0.339	0.902277	1	4294967295
8632.109266301	0.000000000	2.520	-1.819	0.115	-0.341	0.546704	1	4294967295
8632.409465836	0.000000000	2.546	-1.911	0.111	-0.338	0.572750	1	4294967295
8632.709758825	0.000000000	2.547	-1.995	0.101	-0.332	0.585396	1	4294967295
8633.010023497	0.000000000	2.525	-2.046	0.086	-0.319	0.759151	1	4294967295
8633.310097403	0.000000000	2.480	-2.087	0.066	-0.303	0.896542	1	4294967295
8633.610436747	0.000000000	2.417	-2.118	0.042	-0.287	0.991224	1	4294967295
8633.910786911	0.000000000	2.341	-2.141	0.018	-0.269	1.025995	1	4294967295
8634.211093590	0.000000000	2.240	-2.161	-0.012	-0.252	1.128769	1	4294967295
8634.511328956	0.000000000	2.158	-2.145	-0.034	-0.226	1.111779	1	4294967295
8634.811627385	0.000000000	2.079	-2.119	-0.054	-0.201	1.087476	1	4294967295
8635.111900401	0.000000000	2.002	-2.083	-0.071	-0.175	1.067145	1	4294967295
8635.412149728	0.000000000	1.917	-2.037	-0.090	-0.149	1.104925	1	4294967295
8635.712517036	0.000000000	1.830	-1.947	-0.107	-0.114	1.218563	1	4294967295
8636.012833495	0.000000000	1.733	-1.885	-0.126	-0.089	1.129582	1	4294967295
8636.313324913	0.000000000	1.632	-1.772	-0.144	-0.052	1.285454	1	4294967295
8636.622809168	0.000000000	1.559	-1.683	-0.155	-0.024	1.051753	1	4294967295
8636.923457956	0.000000000	1.491	-1.592	-0.163	0.002	1.022018	1	4294967295
8637.222265428	0.000000000	1.397	-1.499	-0.177	0.027	1.077015	1	4294967295
8637.521890342	0.000000000	1.303	-1.399	-0.189	0.052	1.029384	1	4294967295
8637.821633196	0.000000000	1.203	-1.309	-0.201	0.072	0.980758	1	4294967295
8638.121169337	0.000000000	1.102	-1.193	-0.213	0.097	0.993047	1	4294967295
8638.415492155	0.000000000	0.969	-1.029	-0.230	0.131	1.167323	1	4294967295
8638.715754645	0.000000000	0.859	-0.874	-0.239	0.160	1.012155	1	4294967295
8639.015958060	0.000000000	0.734	-0.738	-0.253	0.183	0.916934	1	4294967295
8639.316087691	0.000000000	0.613	-0.593	-0.265	0.208	0.902296	1	4294967295
8639.616003890	0.000000000	0.513	-0.469	-0.272	0.225	0.718664	1	4294967295
8639.919314600	0.000000000	0.421	-0.341	-0.277	0.242	0.855026	1	4294967295
8640.219120406	0.000000000	0.342	-0.210	-0.279	0.260	0.845846	1	4294967295
8640.518962401	0.000000000	0.268	-0.074	-0.278	0.278	0.852032	1	4294967295
8640.819040286	0.000000000	0.215	0.063	-0.272	0.294	0.823664	1	4294967295
8641.119393096	0.000000000	0.212	0.204	-0.252	0.310	0.973628	1	4294967295
8641.419397594	0.000000000	0.226	0.337	-0.229	0.323	1.067867	1	4294967295
8641.716459231	0.000000000	0.260	0.463	-0.203	0.333	1.205955	1	4294967295
8642.019274469	0.000000000	0.287	0.608	-0.181	0.347	1.238107	1	4294967295
8642.316386571	0.000000000	0.335	0.720	-0.156	0.353	1.320074	1	4294967295
8642.616140564	0.000000000	0.402	0.820	-0.128	0.355	1.363529	1	4294967295
8642.916017794	0.000000000	0.474	0.920	-0.100	0.356	1.325870	1	4294967295
8643.215903679	0.000000000	0.565	1.016	-0.069	0.356	1.475671	1	4294967295
8643.515737647	0.000000000	0.671	1.108	-0.036	0.355	1.545358	1	4294967295
8643.815480464	0.000000000	0.778	1.194	-0.006	0.352	1.544000	1	4294967295
8644.115640345	0.000000000	0.894	1.277	0.025	0.348	1.463411	1	4294967295
8644.415379716	0.000000000	1.014	1.405	0.057	0.355	1.953899	1	4294967295
8644.715289458	0.000000000	1.129	1.507	0.085	0.355	1.916407	1	4294967295
